url_path,views_total,views_unique
/zellerlab/cayman,39,16
/zellerlab/cayman/blob/main/cayman/annotate/crazy_annotator.py,7,3
/zellerlab/cayman/blob/795d4c94f5d1ff75b0c70c1d68a5d2d3181fba6c/cayman/annotate/crazy_annotator.py,5,3
/zellerlab/cayman/tree/main/cayman,5,3
/zellerlab/cayman/tree/main/cayman/annotate,5,3
/zellerlab/cayman/blob/main/requirements.txt,5,2
/zellerlab/cayman/releases/tag/v0.10.1,4,2
/zellerlab/cayman/issues,3,2
/zellerlab/cayman/pulls,3,2
/zellerlab/cayman/blob/main/DESCRIPTION.md,3,1
